Unnamed: 0,job_id,job_title,country,isco_3,isco_3_label,hard_skills,tools,knowledge_domains,soft_skills,languages,education_level,education_field,digital_competences,green_competences,status
28,BG29,Machine operator,Bulgaria,814,"Rubber, Plastic and Paper Products Machine Operators","['Monitoring machine operation', 'Monitoring production lines', 'Quality control of products']",[],"['Production line operations', 'Quality assurance']",[],[],,,[],[],ok
29,BG30,"Operator, auxiliary equipment in power plant",Bulgaria,811,Mining and Mineral Processing Plant Operators,"['Operating biomass combustion equipment', 'Monitoring control panels', 'Managing electrical control centers', 'Loading biomass bales', 'Handling reactors', 'Handling turbines', 'Handling generators', 'Maintaining auxiliary power plant facilities']","['Control panels', 'Electrical control centers', 'Reactors', 'Turbines', 'Generators']","['Biomass combustion', 'Power plant operations', 'Electrical control systems']",[],[],,,"['Managing data, information and digital content']",['Valuing sustainability'],ok
30,BG31,"Electrical technician, industrial enterprise",Bulgaria,741,Electrical Equipment Installers and Repairers,"['production of electrical equipment', 'assembly of electrical equipment', 'construction of electrical equipment', 'operation of electrical equipment', 'maintenance of electrical equipment', 'repair of electrical equipment', 'power supply systems']",[],"['electrical equipment', 'power supply systems']",[],[],,,[],[],ok
31,BG32,"Fitter, boiler equipment",Bulgaria,742,Electronics and Telecommunications Installers and Repairers,"['repair of boiler equipment', 'complex locksmith works']",[],[],[],[],none,,[],[],ok
32,BG33,"Worker, thermal insulation repair",Bulgaria,931,Mining and Construction Labourers,"['construction-installation', 'insulation', 'furnace construction', 'repair activities', 'construction of cladding and insulation', 'installation and dismantling of scaffolding']",[],"['boiler rooms', 'gas ducts', 'furnace chamber']",[],[],none,,[],[],ok
33,BG34,"Worker, mechanical cleaning of energy facilities",Bulgaria,962,Other Elementary Workers,"['External cleaning of pipes', 'Cleaning and washing of boilers', 'Cleaning and washing of stairs', 'Cleaning and washing of workshop adjacent area']",['metal hammers'],"['cleaning techniques', 'workshop maintenance']",[],[],none,,[],[],ok
34,BG35,"Technician, elevator technology",Bulgaria,741,Electrical Equipment Installers and Repairers,"['Maintenance of elevator systems', 'Repair of elevator systems', 'Maintenance of lifting equipment', 'Repair of lifting equipment', 'Knowledge of safety regulations for elevators', 'Technical supervision of elevators and lifting equipment']",[],"['Elevator systems', 'Lifting equipment', 'Safety regulations']",[],[],,,[],[],ok
35,BG36,Crane operator,Bulgaria,834,Mobile Plant Operators,"['assembly works', 'load fastening and placement']",[],[],[],[],,,[],[],ok
36,BG37,"Electrician, electrical equipment",Bulgaria,741,Electrical Equipment Installers and Repairers,"['servicing electrical equipment', 'repairing electrical equipment', 'disassembly of electric motors', 'assembly of electric motors', 'disassembly of circuit breakers', 'assembly of circuit breakers', 'disassembly of disconnectors', 'assembly of disconnectors', 'disassembly of contactors', 'assembly of contactors', 'disassembly of automats', 'assembly of automats', 'inspection of electrical panels', 'inspection of control consoles']",[],"['electrical equipment', 'electric motors', 'circuit breakers', 'disconnectors', 'contactors', 'automats', 'electrical panels', 'control consoles']",[],[],,,[],[],ok
37,BG38,Work in technical support in Sofia,Bulgaria,351,Information and Communications Technology Operations and User Support Technicians,"['Technical support', 'Issue resolution', 'Customer needs identification']",[],"['Technology products', 'Customer experience']","['Customer service', 'Positive customer experience contribution', 'Interest in technology']","['Swedish', 'English']",,,"['Interacting through digital technologies', 'Identifying needs and technological responses']",[],ok
38,BG39,"Organizer, production",Bulgaria,814,"Rubber, Plastic and Paper Products Machine Operators","['injection molding preparation', 'material dosing', 'material homogenization', 'quality monitoring', 'compliance with production standards', 'maintaining cleanliness and order']",[],"['injection molding', 'production process standards']","['responsibility', 'attention to detail', 'teamwork']",[],,,[],[],ok
39,BG40,"Machine operator, plastic products manufacturing",Bulgaria,816,Food and Related Products Machine Operators,"['Operating injection molding machines', 'Monitoring machine operation', 'Loading materials', 'Visual inspection']",['Injection molding machines'],"['Plastic product manufacturing', 'Machine operation safety']","['Attention to detail', 'Following safety rules']",[],,,[],[],ok
40,BG41,"Service worker, industrial production",Bulgaria,932,Manufacturing Labourers,"['gluing and assembling semi-finished rescue rafts', 'preparing glue mixture', 'waste collection and disposal', 'production order execution', 'workplace organization according to 5S']",[],"['production processes', 'quality and documentation standards', 'material handling']","['coordination', 'reporting', 'time management', 'compliance']",[],,,[],[],ok
41,BG42,Plasterer,Bulgaria,712,Building Finishers and Related Trades Workers,"['gluing', 'assembling inflatable rescue rafts', 'maritime safety']",[],['maritime safety'],"['dynamic work', 'demanding work']",[],,,[],[],ok
42,BG43,Electromechanic,Bulgaria,215,Electrotechnology Engineers,"['operational supervision', 'machine maintenance', 'production line maintenance', 'locksmith activities', 'changing rollers', 'changing bearings', 'changing machine parts', 'using hand tools', 'using electric tools']","['hand tools', 'electric tools']","['machine maintenance', 'production line operations', 'locksmithing']",[],[],,,[],[],ok
43,BG44,"Technician, telecommunications",Bulgaria,352,Telecommunications and Broadcasting Technicians,"['Installing telecommunication systems', 'Configuring telecommunication systems', 'Configuring power supply systems', 'Building Antenna-Feeder Systems', 'Maintaining Antenna-Feeder Systems', 'Performing diagnostics of telecommunication infrastructures', 'Building MW links', 'Maintaining MW links', 'Monitoring new technologies', 'Recommending system improvements', 'Working at heights']","['Nokia equipment', 'Ericsson equipment', 'Huawei equipment', 'ZTE equipment']","['Telecommunication systems', 'Power supply systems', 'Antenna-Feeder Systems', 'Microwave (MW) links', 'Electrical networks up to 1000V']",[],[],,,['Identifying needs and technological responses'],[],ok
44,BG45,Phone Cable/Line Technician,Bulgaria,352,Telecommunications and Broadcasting Technicians,"['Building optical cable routes', 'Laying HDPE pipes', 'Preparing and launching cable with a cable jet', 'Working with hand tools', 'Working with mechanized tools', 'Complying with technical requirements', 'Complying with safety requirements']","['Hand tools', 'Mechanized tools', 'Cable jet']","['Optical cable installation', 'HDPE pipe laying', 'Technical safety standards']",[],[],,,[],[],ok
45,BG46,"Technician, telecommunications",Bulgaria,352,Telecommunications and Broadcasting Technicians,"['Installation of radio relay lines', 'Installation of base stations', 'Working at height', 'Working with electrical networks up to 1000 volts']",[],"['Radio relay technology', 'Electrical networks']",[],[],,,[],[],ok
46,HR1,DESIGNER / DESIGNER OF CONSTRUCTION PROJECTS,Croatia,216,"Architects, Planners, Surveyors and Designers","['structural project preparation', 'structural calculation', 'project documentation completion', 'modeling structures', 'creating reinforcement plans']","['Scia Engineer', 'Autocad', 'ARMCad']","['building construction', 'high-rise construction']","['communication', 'teamwork', 'willingness to learn', 'progress orientation']",[],,,"['Managing data, information and digital content', 'Interacting through digital technologies', 'Collaborating through digital technologies']",[],ok
47,HR2,EXPERT FOR FORENSIC SYSTEMS AND INVESTIGATION,Croatia,211,Physical and Earth Science Professionals,"['forensic sensor systems development', 'FPGA systems', 'Hall sensors', 'rotational dynamics', 'biomechanical models', 'advanced signal analysis', 'prototype creation', 'technical documentation', 'crypto-security', 'digital forensics', 'SQL database management']","['FPGA systems', 'SQL database']","['forensic systems', 'signal analysis', 'biomechanics', 'crypto-security', 'digital forensics']",[],[],,,"['Managing data, information and digital content', 'Evaluating data, information and digital content']",[],ok
48,HR3,"Application and OT Specialist (m/f/d), Freudenberg, Belisce / Croatia (Application Engineer / Manager)",Germany,133,Information and Communications Technology Services Managers,"['software development', 'application development', 'programming in JavaScript', 'programming in Python', 'IT infrastructure design', 'IoT device integration', 'automation systems', 'data platform management', 'technical support and troubleshooting', 'budgeting for IT projects', 'network security', 'data integrity compliance', 'industrial communication protocols', 'Smart Factory technology implementation', 'industrial automation', 'digital transformation in manufacturing', 'machine-level device integration']","['IoT devices', 'sensors', 'automation systems', 'application servers', 'data platforms', 'OPC UA', 'MQTT', 'Modbus']","['Information Technology', 'Computer Science', 'Industrial Engineering', 'Smart Factory solutions', 'Industry 4.0 technologies', 'AI', 'machine learning', 'robotics', 'industrial communication standards']","['flexibility', 'continuous improvement focus', 'communication skills', 'interpersonal skills', 'collaboration']",[],bachelor,"Information Technology, Computer Science, Industrial Engineering, or related field","['Managing data, information and digital content', 'Interacting through digital technologies', 'Collaborating through digital technologies', 'Solving technical problems', 'Identifying needs and technological responses']","['Valuing sustainability', 'Adaptability']",ok
49,HR4,On-Site Project Manager / Senior Site Manager (m/f/d) (Engineer - Mechanical Engineering),Germany,132,"Manufacturing, Mining, Construction and Distribution Managers","['steam turbine unit assembly', 'site management', 'project coordination', 'technical supervision', 'safety standards compliance', 'occupational health and safety', 'mechanical engineering', 'process engineering', 'industrial mechanic', 'maintenance technician', 'mechatronics technician', 'PC and IT skills', 'driving license class B']",[],"['machinery and plant engineering', 'construction and assembly services', 'project management']","['responsibility', 'teamwork', 'communication', 'respectfulness', 'appreciation', 'authenticity', 'integrity', 'customer orientation', 'flexibility', 'result orientation', 'independent working style', 'willingness to travel']","['German', 'English']",bachelor,engineering,"['Browsing, searching and filtering data, information and digital content', 'Evaluating data, information and digital content', 'Managing data, information and digital content', 'Interacting through digital technologies']","['Valuing sustainability', 'Protecting the environment', 'Protecting health and well-being']",ok
50,HR5,QUALITY CONTROLLER/WELDING COORDINATOR,Croatia,721,"Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers","['final visual-measurement control', 'testing of impermeability', 'filling out control-testing documentation', 'technological elaboration of work documentation', 'monitoring welding process and standards', 'supervision of staff', 'professional training provision', 'welding equipment maintenance', 'preparation of production and accompanying documentation', 'welding plans preparation', 'determining methods for qualified welding procedures', 'visual weld quality testing', 'non-destructive testing (NDT)', 'destructive testing', 'report preparation', 'A-certification of welders', 'welding of demanding parts']",[],"['quality standards', 'welding technology', 'welding procedures', 'welding equipment', 'non-destructive testing', 'destructive testing']","['communication skills', 'precision', 'conscientiousness', 'responsibility', 'teamwork', 'independence']",[],bachelor,,[],[],ok
51,HR6,SENIOR ADVISOR FOR INFRASTRUCTURE PROJECTS,Croatia,132,"Manufacturing, Mining, Construction and Distribution Managers","['civil engineering', 'electrical engineering', 'mechanical engineering', 'spatial planning', 'construction', 'computer proficiency', 'driving motor vehicles category B']",[],"['law on civil servants and employees', 'state exam', 'professional exam', 'training program for civil registry officer tasks', 'spatial planning regulations', 'construction regulations']","['health capability', 'legal compliance', 'work experience verification', 'application documentation preparation']",[],bachelor,civil engineering or electrical engineering or mechanical engineering,"['Browsing, searching and filtering data, information and digital content', 'Managing data, information and digital content']",[],ok
52,HR7,"ELECTRICAL ENGINEER, GRADUATED ELECTRICAL ENGINEER - TECHNICAL INSPECTOR",Croatia,215,Electrotechnology Engineers,"['technical testing', 'measurements', 'report preparation']",[],['electrical engineering'],"['fieldwork', 'active driving']",[],bachelor,electrical engineering,"['Managing data, information and digital content', 'Protecting personal data and privacy']",[],ok
53,HR8,MANAGER OF MECHANICAL ENGINEERING ENERGY,Croatia,132,"Manufacturing, Mining, Construction and Distribution Managers","['failure detection in energy installations', 'failure reporting', 'work prioritization', 'material ordering', 'tool ordering', 'record keeping', 'invoice checking', 'contractor management', 'documentation updating and preparation', 'knowledge transfer', 'employee supervision', 'occupational safety compliance', 'use of personal protective equipment', 'workplace safety management']",[],"['Naval Architecture', 'Electrical Engineering', 'Polytechnic']","['collaboration', 'problem solving', 'supervision', 'safety awareness', 'time management']",[],other,,"['Managing data, information and digital content', 'Interacting through digital technologies', 'Sharing through digital technologies']",[],ok
54,HR9,LIGHTING DESIGNER (male/female),Croatia,216,"Architects, Planners, Surveyors and Designers","['lighting technical calculations', 'technical documentation preparation', 'cost estimation', 'technical drawings preparation', 'professional communication', 'sales in professional lighting']","['Dialux', 'Relux', 'Word', 'Excel', 'Powerpoint', 'CAD']","['electrical engineering', 'lighting technology']",['professional communication'],[],other,electrical engineering,"['Browsing, searching and filtering data, information and digital content', 'Managing data, information and digital content', 'Interacting through digital technologies', 'Collaborating through digital technologies']",[],ok
55,HR10,TECHNICIAN/TECHNOLOGIST FOR HIGH-PRESSURE CASTING,Croatia,311,Physical and Engineering Science Technicians,"['Preparing technology for production process', 'Monitoring and supervising trial series', 'Optimizing technological processes in production', 'Reviewing casting simulations', 'Creating requests for design changes on pressure tools', 'Creating technological instructions for casting machines and peripherals', 'Training workers regarding applied technology', 'Analyzing scrap and complaints (8D)', 'Knowledge of computer work', 'Use of MS Office', 'Use of AutoCAD', 'Use of 3D programs']","['MS Office', 'AutoCAD', '3D programs']","['Mechanical engineering', 'Casting technology', 'Occupational safety regulations', 'Technological regulations']","['Goal-oriented', 'Results-driven', 'Efficiency', 'Decisiveness', 'Logical thinking', 'Interaction with customer representatives']",['English'],bachelor,mechanical engineering or related fields,"['Browsing, searching and filtering data, information and digital content', 'Managing data, information and digital content', 'Interacting through digital technologies', 'Developing digital content']",[],ok
56,HR11,TECHNICIAN IN QUALITY CONTROL,Croatia,321,Medical and Pharmaceutical Technicians,"['quality control', 'quality assurance processes', 'data collection and analysis', 'conducting inspections and audits', 'training employees', 'Microsoft Office suite proficiency']","['Microsoft Word', 'Microsoft Excel', 'Microsoft PowerPoint']","['quality assurance', 'safety standards and regulations', 'production processes', 'automotive industry']","['organizational skills', 'attention to detail', 'communication skills', 'independent work', 'teamwork', 'initiative', 'decision-making', 'multitasking']",['English'],other,technical high school,"['Browsing, searching and filtering data, information and digital content', 'Evaluating data, information and digital content', 'Managing data, information and digital content', 'Collaborating through digital technologies', 'Interacting through digital technologies']",[],ok
57,HR12,RULES/REGULATIONS FOR INDUSTRIAL ROBOTICS,Croatia,311,Physical and Engineering Science Technicians,"['Managing industrial robots', 'Correcting lubrication programs for pressure tools', 'Preparing lubrication operations', 'Coating mixing systems', 'Repairing and maintaining coating heads for pressure tools', 'Checking fundamental parameters of coating pressure tools', 'Checking automated processes']",[],"['Mechatronics', 'Mechanical engineering', 'Electrical engineering']",['Ability to work in three shifts'],[],other,"Technical high school (mechatronics, mechanical engineering, electrical engineering)",[],[],ok
58,HR13,OPERATOR (MALE/FEMALE) IN PRODUCTION,Croatia,814,"Rubber, Plastic and Paper Products Machine Operators","['Handling and supervising production equipment', 'Adjusting production lines', 'Inspecting raw materials and finished products', 'Adjusting machines for productivity and quality', 'Basic maintenance of equipment', 'Quality control', 'Packing and labeling products', 'Operating manual and electric forklifts', 'Reading and executing work orders', 'Basic computer work', 'Basic repairs and fault identification', 'Inventory management', 'Applying safety protocols and quality standards']","['Production equipment', 'Manual forklifts', 'Electric forklifts', 'Personal protective equipment']","['Food production', 'Safety standards', 'Quality standards', 'Ergonomics', 'Sustainability in production']","['Attention to detail', 'Team spirit', 'Basic communication skills', 'Reliability', 'Accuracy', 'Work discipline', 'Adaptability', 'Willingness to learn']",[],other,"food, technical or related field","['Browsing, searching and filtering data, information and digital content', 'Managing data, information and digital content', 'Collaborating through digital technologies', 'Protecting health and well-being', 'Identifying needs and technological responses']","['Valuing sustainability', 'Adaptability']",ok
59,HR14,TECHNICIAN FOR PRODUCTION PROCESSES,Croatia,311,Physical and Engineering Science Technicians,"['Maintenance and optimization of machines and programs', 'Monitoring line operations', 'Preventive and corrective maintenance of equipment', 'Providing support and training', 'Process and product quality improvements', 'Basic technical knowledge (software and hardware)', 'Good computer skills', 'Problem-solving ability']",[],"['Production line operations', 'Machine maintenance', 'Process optimization', 'Quality improvement']","['Motivation', 'Cooperation', 'Independence', 'Adherence to safety rules', 'Shift work willingness']",['English'],other,Technical high school education,"['Solving technical problems', 'Browsing, searching and filtering data, information and digital content', 'Managing data, information and digital content']",[],ok
60,HR15,TECHNICIAN FOR TESTING IN PRODUCTION,Croatia,315,Ship and Aircraft Controllers and Technicians,"['assembling testing devices', 'creation and maintenance of testing setups and tools', 'documentation and training', 'optimization of testing processes', 'data collection and analysis', 'basic math', 'chart interpretation', 'problem-solving', 'communication skills']","['Windows-based systems', 'internal software tools']","['electronics', 'testing processes', 'production environment', 'testing environment']","['communication skills', 'analytical thinking', 'problem-solving', 'collaboration', 'willingness to work in shifts']",['English'],,,"['Managing data, information and digital content', 'Collaborating through digital technologies', 'Developing digital content', 'Solving technical problems']",[],ok
61,HR16,OPERATOR (MALE/FEMALE) FOR MAINTENANCE OF PRODUCTION LINES,Croatia,723,Machinery Mechanics and Repairers,"['machine maintenance', 'equipment maintenance', 'production line maintenance', 'factory infrastructure maintenance', 'training operators', 'error monitoring and recording', 'workplace hygiene maintenance', 'operating self-propelled mechanical machines']",[],"['electrical technology', 'mechatronics', 'industrial automation']","['attention to detail', 'training and communication', 'workplace safety']",[],other,"technical field (electrical technician, mechatronics, automation in industry)","['Managing data, information and digital content']",['Valuing sustainability'],ok
62,HR17,ASSOCIATE IN HYDRO INSTALLATION DESIGN,Croatia,216,"Architects, Planners, Surveyors and Designers","['designing hydro installations', '2D CAD', '3D CAD']",['CAD programs'],['technical direction'],"['teamwork', 'positive work atmosphere']",[],other,technical direction,"['Managing data, information and digital content']",[],ok
63,HR18,GRADUATE ENGINEER CIVIL ENGINEERING/MECHANICAL ENGINEERING,Croatia,214,Engineering Professionals (excluding Electrotechnology),"['project management', 'cost planning', 'procurement', 'construction documentation', 'organizational planning', 'scheduling', 'financial planning', 'production requirements agreement', 'project prioritization']",[],"['construction', 'project preparation', 'contract execution']","['organizational skills', 'precision', 'analytical thinking', 'commitment', 'teamwork']",[],,,[],[],ok
64,HR19,TECHNICIAN ON SITE,Croatia,321,Medical and Pharmaceutical Technicians,"['technical maintenance', 'equipment control', 'daily inspections']",[],"['electrical', 'mechanical', 'technical fields']","['independence', 'initiative', 'responsibility', 'organization', 'willingness to work in shifts']",[],other,"electrical, mechanical, or similar technical fields",[],[],ok
