job_id,job_title,date,company_name,country,country_code,region,coordinates,full_description,isco_3_digit,isco_3_digit_label,isco_4_digit,isco_4_digit_label,phd_context_valid,master_context_valid,phd_field,master_field,education_field_phd_clean,education_field_master_clean
BG11,"Employee, maintenance",2025-11-27,CENTRAL PARK 1 EOOD,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)",Maintains the garden area / mowing / Responsible for the maintenance of the pool during the summer season; Makes requests for necessary materials and supplies required for the maintenance of the complex.,962,Other Elementary Workers,9629.0,Unknown,,,,,,
BG12,"Technical Leader, Construction",2025-08-08,AS-STROY - EOOD,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Prepares and processes technical documentation related to the construction process (drawings, specifications, offers, contracts, etc.). Organizes and implements archiving and storage of the documentation. Monitors the timely submission of necessary documents to the relevant authorities and instances. Collects, organizes, and monitors the execution of all technical documents and drawings of the site. Periodically checks the compliance of completed activities with approved drawings and specifications. Coordinates the communication between the engineering team, construction manager, and other departments related to the construction process.",132,"Manufacturing, Mining, Construction and Distribution Managers",1323.0,Unknown,,,,,,
BG13,"Developer, software",2025-06-24,CIRCLES BULGARIA EOOD,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","Designs, develops, and maintains scalable, high-performance C++ applications, implements reusable components, modules, and services, following best practices; conducts code reviews to ensure high-quality maintainable code. Participates in daily meetings, planning meetings, sprint planning, and retrospectives in Agile/Scrum teams.",251,Software and Applications Developers and Analysts,2512.0,Unknown,,,,,,
BG14,"Expert, design and programming",2025-11-07,AURUBIS BULGARIA AD,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","Responsible for the security of networks in automation systems. Participates in the preparation of design assignments and delivery of equipment in the automation section, focusing on cybersecurity and integration with ERP, MES, data historian, and other software platforms. Participates in the selection of contractors for projects related to automation and cybersecurity. Investigates possible applications of new devices and systems in the company and works on their implementation. Prepares documents related to IT and automation (schedules, protocols, reports, etc.) in Bulgarian and/or English. Participates in the acceptance and commissioning of new software products and automation systems. Monitors the proper operation of cybersecurity systems in automation. Participates in the implementation of solutions for protecting the industrial network from unauthorized access.",251,Software and Applications Developers and Analysts,2519.0,Unknown,,,,,,
BG15,"Operator, user support",2025-10-28,TECHNOLEDGE OPS BULGARIA EOOD,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)",Customer service consultant for non-technical issues (Microsoft and OpenText) with English language; Project start date 13.11.2025. Works with a portfolio of corporate clients; Communication with clients is mainly in written form.,351,Information and Communications Technology Operations and User Support Technicians,3512.0,Unknown,,,,,,
BG16,"Programmer, software applications",2025-10-03,KPMG IT Service OOD,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","Senior .NET programmer. Develops new programs and processes. Collects statistical data and prepares reports, tests new programs, documents the code development process, researches and recommends software applications, interacts with other teams in the company, and more, as described in detail in the CRM Request.",251,Software and Applications Developers and Analysts,2514.0,Unknown,,,,,,
BG17,"Engineer, building and construction of buildings and structures",2025-10-21,ENERGY SAVING EOOD,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Site visit, inspection and information gathering about processes and facilities, processing and analyzing the collected information – photos and data, preparing a report together with experts from other specialties related to the specifics of the particular task. Maintaining a database of current laws and regulations in the field in which he works and their application in performing the assigned tasks. If interested in development in the field of design – opportunity to participate in the development of investment projects for energy efficiency of existing and new buildings. Requirements: 1. Completed higher education (bachelor's or master's degree) in the specialty ""Thermal Engineering"" or ""Thermal Energy"" or their derivatives. 2. Desire for development in the field of energy efficiency, technical certification of buildings, and design.",214,Engineering Professionals (excluding Electrotechnology),2142.0,Unknown,,"Completed higher education (bachelor's or master's degree) in the specialty ""Thermal Engineering"" or ""Thermal Energy""",,the specialty,,the specialty
BG18,"Construction technician, project-technical department",2025-10-21,ENERGY SAVING EOOD,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Conducts energy efficiency assessments of both existing and new buildings, related to support in the work of engineering designers in the process of executing current tasks. Participation in site inspections, collection and processing of gathered data on the status of the site, inhabitants, operating modes, etc. Works in collaboration with engineers and designers for the optimization of energy projects. Completes and maintains documentation related to energy assessments.",314,Life Science Technicians and Related Associate Professionals,3141.0,Unknown,,,,,,
BG19,"Programmer, software applications",2025-02-18,DIGITAL NATURE BULGARIA EOOD,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","Develops software products and databases, creates program algorithms based on assignments. Proposes different options for software solutions. Consults with the designer during the graphical design of the software product. Introduces protection against unauthorized use of the software product. Participates in the preparation of a user manual for using the program and consults with the documentation specialist. Determines the hardware and software requirements for using the new software product. Prepares a presentation and demonstrates the finished product to the client. Trains staff to work with the new software product. Follows all procedures and instructions arising from the established quality system. Performs other duties assigned by his direct supervisor or the management of the company related to his work.",251,Software and Applications Developers and Analysts,2514.0,Unknown,,,,,,
BG20,"Technician, computer systems",2025-12-08,SELECT ENGINEERING OOD,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Installer of security systems. Knowledge and skills in building and maintaining cable networks, video surveillance, intercom systems, and security alarm systems. Diagnosing and resolving hardware and software issues.",351,Information and Communications Technology Operations and User Support Technicians,3511.0,Unknown,,,,,,
BG21,Turner,2025-11-13,ENSI CONTROL EOOD,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","- Restores damaged parts for electric motors; - Adjusts, checks for accuracy, and operates complex universal lathes and milling machines; - Machining responsible and complex configuration parts, requiring careful checking across several surfaces with multiple setups and fastening methods, turning cylindrical, conical, and other surfaces positioned eccentrically and at an angle; - Grinds all types of tools with templates and protractors, with at least 1 year of professional experience.",722,"Blacksmiths, Toolmakers and Related Trades Workers",7223.0,Unknown,,,,,,
BG22,"Machine operator, metalworking machines",2025-09-16,ZMM STOMANA AD,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Commissioning one or more metal cutting machines for the production of metal products in standardized series, managing and controlling metal cutting machines such as lathes, mills, drilling machines, grinding machines, planers, polishing machines, including multifunctional metalworking machines with numerical control. Monitoring machine operations to detect defects in finished products or malfunctioning of the machines and carrying out appropriate adjustments as necessary. Checking finished products for possible defects, measuring blanks to determine the accuracy of machine operations using measuring tools, replacing worn machine fixtures and cutting tools.",814,"Rubber, Plastic and Paper Products Machine Operators",8141.0,Unknown,,,,,,
BG23,Foundry worker,2025-09-16,ZMM STOMANA AD,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Manual production of foundry molds for various sizes of castings using auxiliary equipment; production of cores for metal casting; cleaning and smoothing of castings, foundry cores, repairing and removing surface defects; placing the pattern in foundry molds; cutting channels, pouring channels, and holes in foundry molds; and lifting the upper section and separating the lower section for removing profiles.",931,Mining and Construction Labourers,9313.0,Unknown,,,,,,
BG24,"Dispatcher, vehicles",2025-12-09,MS SOT MONTANA OOD,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)",Dispatcher in a security company. Receiving signals from the company's clients and notifying the guards through a computer program. Tasks assigned by the employer.,441,Other Clerical Support Workers,4419.0,Unknown,,,,,,
BG25,"Manager, Production",2025-03-14,EKOPLAST FIBER AD,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","1. Planning and control of synthetic fiber production – creating production schedules, allocating resources, and monitoring execution. 2. Team management – leading operators, engineers, and other staff in production. 3. Process optimization – seeking ways to reduce costs, increase efficiency, and improve quality. 4. Quality control – monitoring compliance with standards and implementing improvement measures. 5. Compliance with regulatory requirements – ensuring safety and environmental standards in production. 6. Working with suppliers and clients – managing materials, deadlines, and deliveries. 7. Reporting to management – analyzing and presenting production metrics. Leadership and organizational abilities, technical knowledge of the production process, planning and analytical skills, knowledge of ERP systems and production software, communication and management skills.",132,"Manufacturing, Mining, Construction and Distribution Managers",1321.0,Unknown,,,,,,
BG26,"Programmer, software applications",2025-03-28,Veleyahome EOOD,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","1. Designing and developing complex, scalable web applications with PHP 7.2+ and PostgreSQL, including query optimization for processing large data sets (20M+ records). 2. Recursive CTEs (Common Table Expressions) for hierarchical data and logging slow queries through EXPLAIN ANALYZE. 3. Developing Front-end applications on ExtJs and Back-end part on Zendframework 2.",251,Software and Applications Developers and Analysts,2514.0,Unknown,,,,,,
BG27,"Technician, mechanic",2025-09-11,VIVA PLAST EOOD,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","2. Checks daily the normal functioning of machines and mechanical equipment. Performs repair and preventive maintenance activities in accordance with the instructions of the machines and equipment. Identifies, reports, and resolves malfunctions in the machines and equipment in the enterprise. Performs adjustments on installations and machines, reformatting. Monitors the occurrence of malfunctions and their timely resolution. Participates in periodic and major repairs, disassembly, and assembly of machines and equipment in production. Participates in the installation and setup of new equipment, as well as its commissioning into regular operation.",723,Machinery Mechanics and Repairers,7233.0,Unknown,,,,,,
BG28,"Worker, press for ceramic and porcelain products",2025-10-15,HAN OMURTAG AD,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","3. Loads the press with the required dies, monitors and takes care of the correct operating mode, condition, functionality, and cleanliness of the machines.",818,Other Stationary Plant and Machine Operators,8181.0,Unknown,,,,,,
BG29,Machine operator,2025-08-12,KEROS CERAMICS EAD,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","4. Monitors the proper operation of machines and production lines. Monitors the quality of the produced products. Introductory training for the relevant production line; Payment of bonuses, overtime work by schedule, night and holiday work; Company transport within the city of Ruse; Food vouchers worth 200 BGN above gross income.",814,"Rubber, Plastic and Paper Products Machine Operators",8141.0,Unknown,,,,,,
BG30,"Operator, auxiliary equipment in power plant",2025-11-11,HEATING RUSE AD,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","5. TPP - Ruse introduces a new biomass combustion line. Operators manage and monitor the process - observe and maintain control panels and similar equipment in electrical control centers, load the line with bales; The equipment includes reactors, turbines, generators, and other auxiliary facilities in power plants.",811,Mining and Mineral Processing Plant Operators,8112.0,Unknown,,,,,,
BG31,"Electrical technician, industrial enterprise",2025-11-11,HEATING RUSE AD,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Perform technical tasks related to the production, assembly, construction, operation, maintenance, and repair of electrical equipment, facilities, and power supply systems.",741,Electrical Equipment Installers and Repairers,7412.0,Unknown,,,,,,
BG32,"Fitter, boiler equipment",2025-10-20,TPP - BOBOV DOL AD,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)",1. Participates in the repair of one or more nodes of the boiler equipment. 2. Execution of complex and precise locksmith works. none,742,Electronics and Telecommunications Installers and Repairers,7421.0,Unknown,,,,,,
BG33,"Worker, thermal insulation repair",2025-10-20,TPP - BOBOV DOL AD,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","1. Carrying out construction-installation, insulation, furnace construction, and other repair activities. 2. Construction of cladding and insulation in the boiler rooms and gas ducts. 3. Installation and dismantling of scaffolding in the furnace chamber. none",931,Mining and Construction Labourers,9313.0,Unknown,,,,,,
BG34,"Worker, mechanical cleaning of energy facilities",2025-10-20,TPP - BOBOV DOL AD,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","1. External cleaning of pipes using metal hammers. 2. Cleaning and washing of boilers and stairs from dust, slag, and oil. 3. Cleaning and washing of the adjacent area of the workshop. none",962,Other Elementary Workers,9629.0,Unknown,,,,,,
BG35,"Technician, elevator technology",2025-10-20,TPP - BOBOV DOL AD,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)",1. Maintenance and repair of elevator systems and lifting equipment. 2. Knowledge and compliance with the requirements of regulations for the safe operation and technical supervision of elevators and lifting equipment. none,741,Electrical Equipment Installers and Repairers,7412.0,Unknown,,,,,,
BG36,Crane operator,2025-10-20,TPP - BOBOV DOL AD,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","1. Directly participates in the execution of assembly works and tasks at the site. 2. During work, monitors the correct fastening and placement of the load.",834,Mobile Plant Operators,8343.0,Unknown,,,,,,
BG37,"Electrician, electrical equipment",2025-10-20,TPP - BOBOV DOL AD,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","1. Performs activities related to the servicing and repair of electrical equipment in the area of the plant. 2. Disassembly and assembly of electric motors, circuit breakers, disconnectors, contactors, automats, and other electrical equipment. 3. Periodically inspects the electrical panels and control consoles.",741,Electrical Equipment Installers and Repairers,7412.0,Unknown,,,,,,
BG38,Work in technical support in Sofia,2025-09-04,Recruitas AB,Bulgaria,BG,Sofia,"(42.6977, 23.3219)","Are you ready to take the next step in your career? Our client – a global leader in customer experience – is now seeking Swedish-speaking technically interested individuals for its team in Sofia. About the role As a Technical Support agent, you will assist customers in getting the most out of well-known technology products. You will: Assist customers via phone, email, and chat Provide technical support and resolve issues Identify customer needs and provide the right solutions Contribute to a positive customer experience Previous experience is not required – you will receive paid training. You only need to be fluent in Swedish, have good knowledge of English, and an interest in technology and customer service. We offer: Paid training Secure employment with career opportunities Competitive salary + bonus Private health insurance An international work environment Personal and professional development Over 50 benefits and discounts Why work in Sofia? Low cost of living and high quality of life Beautiful nature – close to both mountains and sea Vibrant culture and a modern nightlife An expanding tech hub with an international job market Easy access to travel within Europe Ready to start a new chapter abroad? Submit your application today and become part of a growing tech team in the heart of Europe or email erika@recruitas.com if you have any questions!",351,Information and Communications Technology Operations and User Support Technicians,3512.0,Unknown,,,,,,
BG39,"Organizer, production",2025-10-16,STEARIOS OOD,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Preparation of materials for injection molding according to precise recipes. Downloading and dosing of dyes, fragrances, and additives. Precise homogenization of materials at a certain temperature. Monitoring quality and compliance with standards in the production process. Maintaining cleanliness and order in the work area. Responsibility and attention to detail. Skills to work according to set instructions and recipes. Ability to work in a team.",814,"Rubber, Plastic and Paper Products Machine Operators",8142.0,Unknown,,,,,,
BG40,"Machine operator, plastic products manufacturing",2025-10-24,STEARIOS OOD,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)",Machine operator of the latest generation injection machines. Opportunity for execution by both men and women. Main activity: Production of plastic products. Main responsibilities: Following the work process and internal safety rules; Monitoring the proper operation of the machines and the availability of necessary materials; Loading and reloading the machines; Visual inspection.,816,Food and Related Products Machine Operators,8160.0,Unknown,,,,,,
BG41,"Service worker, industrial production",2025-10-15,Viking Life-Saving Equipment Production BG EOOD,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","• Performs activities related to gluing and assembling semi-finished rescue rafts; • Participates in preparing the glue mixture; • Performs activities related to gluing chambers; • Collects and disposes of waste in designated areas; • Complies with documentation requirements according to company standards; • Contacts and coordinates work with the Section Organizer and Shift Supervisor; • Ensures timely execution of assigned production orders; • Maintains the workplace clean and organized according to 5S requirements; • Reports material shortages; • Reports errors and omissions in materials, semi-finished products, and products; • Performs other specifically assigned tasks related to the position.",932,Manufacturing Labourers,9329.0,Unknown,,,,,,
BG42,Plasterer,2025-10-03,Viking Life-Saving Equipment Production BG EOOD,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)",Activities related to gluing and assembling inflatable rescue rafts for maritime safety. The job is dynamic and demanding. Working hours are from 07:00 to 15:30.,712,Building Finishers and Related Trades Workers,7123.0,Unknown,,,,,,
BG43,Electromechanic,2025-08-15,D KONSEY OOD,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Performs operational supervision and maintenance of machines and equipment/production line/and locksmith activities related to changing rollers, bearings, and other machine parts. Technical literacy; Experience working with hand and electric tools;",215,Electrotechnology Engineers,2151.0,Unknown,,,,,,
BG44,"Technician, telecommunications",2025-12-04,K Kom 2020 EOOD,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Installing and configuring telecommunication systems and equipment from leading manufacturers: Nokia, Ericsson, Huawei, ZTE, etc. - Installation/Demolition, configuring power supply systems. - Building and maintaining Antenna-Feeder Systems. - Performing diagnostics of existing telecommunication infrastructures. - Building and maintaining MW links. - Monitoring new technologies and recommending improvements in systems and processes. Working at heights. Previous experience in similar work (swap projects/Rollout projects) is an advantage but not mandatory. - Qualification for work with electrical networks up to 1000V is an advantage, but not mandatory.",352,Telecommunications and Broadcasting Technicians,3521.0,Unknown,,,,,,
BG45,Phone Cable/Line Technician,2025-10-20,CUBI GROUP EOOD,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)",- Building new optical cable routes; - Laying HDPE pipes; - Preparing and launching cable with a cable jet; - Working with hand and mechanized tools; - Complying with technical and safety requirements.,352,Telecommunications and Broadcasting Technicians,3521.0,Unknown,,,,,,
BG46,"Technician, telecommunications",2025-10-21,EL PI TEK EOOD,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","Installation of radio relay lines and base stations. Work at height. Work at height, working with electrical networks up to 1000 volts.",352,Telecommunications and Broadcasting Technicians,3521.0,Unknown,,,,,,
HR1,DESIGNER / DESIGNER OF CONSTRUCTION PROJECTS,2025-11-21,TUDOR PROJEKT d.o.o.,Croatia,HR,Zagreb,"(45.8150, 15.9819)","Job description: - participation in the preparation of structural projects of all levels for buildings in the company's portfolio - independent calculation for simpler structures - participation in the completion of project documentation and other technical documentation - communication with collaborators and business colleagues within their tasks - preparation of main and execution projects for buildings (mostly high-rise construction) - other tasks in accordance with the nature and type of work at the employer's request - work in Scia Engineer, Autocad, and ARMCad. Knowledge of Scia Engineer for modeling structures and ARMCad for creating reinforcement plans is required. Teamwork and a desire to learn and progress are expected.",216,"Architects, Planners, Surveyors and Designers",2161.0,Unknown,,,,,,
HR2,EXPERT FOR FORENSIC SYSTEMS AND INVESTIGATION,2025-12-01,Kriptonix j.d.o.o.,Croatia,HR,Zagreb,"(45.8150, 15.9819)","R&D ENGINEER - FORENSIC SYSTEMS Job description: research and development work on the development and integration of forensic sensor systems. This includes work with FPGA systems, Hall sensors, rotational dynamics, and biomechanical models. Conducts advanced signal analysis (Fourier, CWT, SSA), creates prototypes and technical documentation, and participates in crypto-security and digital forensics projects. Develops and maintains an SQL database of biomechanical signatures. Work is performed full-time (40 hours a week).",211,Physical and Earth Science Professionals,2113.0,Unknown,,,,,,
HR3,"Application and OT Specialist (m/f/d), Freudenberg, Belisce / Croatia (Application Engineer / Manager)",2025-04-09,Harburg-Freudenberger Maschinenbau GmbH,Germany,HR,North Rhine-Westphalia,"(51.4556, 7.0116)","The mix makes life means constantly reinventing oneself, not standing still and staying in motion. HF is also always in motion and offers its customers, as a world market leader, forward-looking solutions and products that make them successful. We enable efficient and ecological mixing processes for tires, technical rubber goods, and special applications with our work. Your tasks: Participation in global projects in the area of Smart Factory solutions, from the concept phase to implementation and continuous optimization. Collaboration with global and local IT teams to design and provide the IT infrastructure for Smart Factory initiatives, including IoT devices, sensors, automation systems, application servers, and data platforms. Development and maintenance of applications, including interfaces for the integration of data systems, applications, IoT devices, and services worldwide. Providing training and technical support for manufacturing sites worldwide to troubleshoot and resolve IT-related issues in the industry. Budgeting projects for IT infrastructure within the scope of the global digitalization strategy. Cooperation with the global IT security team to ensure continuous network security, data integrity, and compliance with industrial standards and regulations. Implementation and integration of Smart Factory devices at the machine level. Analyzing and solving technical challenges related to the integration of IoT and automation technologies. Your profile: Completed Bachelor's degree or equivalent qualification in Information Technology, Computer Science, Industrial Engineering, or a related field. Experience in software development and application development. Programming skills in JavaScript, Python, or similar languages. Experience in IT or industrial IT roles with a focus on Smart Factory technologies, industrial automation, and digital transformation in manufacturing environments. Experience with Industry 4.0 technologies, including IoT, AI, machine learning, robotics, and data analysis platforms. Experience in implementing and integrating Smart Factory devices at the machine level. Familiarity with automation protocols (e.g., OPC UA, MQTT, Modbus) and industrial communication standards. Flexibility to work in dynamic environments, with a focus on continuous improvement. Excellent communication and interpersonal skills for effective collaboration with global teams and various organizational levels. Willingness to travel to our international manufacturing sites. Our offer: We are a collectively bargained company and are subject to the uniform collective agreement of the metal and electrical industry NRW. This means for our employees: 30 days of vacation per year. Compensation according to the wage framework agreement. Christmas and vacation bonuses. Additionally, we offer various other benefits, such as: Asset-building services. Educational opportunities. Company restaurant with daily freshly cooked meals and a wide variety of options. Meal allowance for meals in the company restaurant. Free drinks (water, coffee, cocoa). Modern working environment. Company-owned gym with fitness courses. On-site physiotherapist services. Bicycle and e-bike leasing.",133,Information and Communications Technology Services Managers,1330.0,Unknown,,,,,,
